CodigoArticulo|Descripcion|Linea|CostoPromedio|CodigoCliente|NombreCliente|CodigoTienda|NombreTienda|Direccion|Region|Departamento|CodigoPlanta|NombrePlanta|Region|Departamento|cantidad|precio|costo|fecha
AB000066|"90210 FOR HER TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|351|TT58856|Vivamus Nisi Limited|T17|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P9|Planta 9|Norte|Izabal|20|526.5|500.175|01/01/2007
AB000075|"90210 SPORT TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|226|YV48515|Euismod Enim Ltd|T23|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P7|Planta 7|Sur|Retalhuleu|3|339|186.45|01/04/2010
AB000022|Mat de yoga|Deporte|75|KE51218|Fringilla Porttitor Corp.|T31|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|1|112.5|110.25|01/10/2016
AB000053|360 BLUE PERRY ELLIS DAMA PERFUME 100|Perfumeria|455|QX64757|Ligula Ltd|T6|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P9|Planta 9|Norte|Izabal|11|682.5|457.275|01/06/2014
AB000068|"90210 ENERGY TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|261|JN99126|Erat Nonummy Ultricies Institute|T38|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|6|391.5|274.05|01/11/2009
AB000099|AMARIGE D`AMOUR GIVENCHY|Perfumeria|500|JS36344|Aliquet Proin Company|T4|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|6|750|697.5|01/01/2007
AB000039|Mesa de noche|Muebles|560|DN92527|Tellus Institute|T10|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|19|840|705.6|01/09/2015
AB000099|AMARIGE D`AMOUR GIVENCHY|Perfumeria|500|LQ64714|Donec Institute|T27|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P9|Planta 9|Norte|Izabal|22|750|540|01/10/2005
AB000088|ADIDAS FRESH VIBES ADIDAS DAMA TOILETTE 50|Perfumeria|191|PZ21836|Ipsum Primis Foundation|T20|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P9|Planta 9|Norte|Izabal|2|286.5|148.98|01/07/2007
AB000040|Computadora|Electronicos|6550|ZJ26397|Vivamus Foundation|T34|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P4|Planta 4|Sur|Zacapa|3|9825|7467|01/06/2009
AB000070|"90210 MAGIC TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|236|JY64559|Orci PC|T41|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P10|Planta 1|Norte|Guatemala|19|354|315.06|01/04/2005
AB000055|360 CORAL PERRY ELLIS DAMA PERFUME 100|Perfumeria|540|YC43217|Non Quam Pellentesque Inc.|T20|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P9|Planta 9|Norte|Izabal|16|810|704.7|01/01/2014
AB000063|5TH NYC PREMIERE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|380|BF51423|Tincidunt Tempus Foundation|T17|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|23|570|421.8|01/05/2014
AB000026|Pelota de basketball|Deporte|169|TR98357|Dui Fusce LLC|T32|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|1|253.5|177.45|01/04/2014
AB000054|360 COLLECTION PERRY ELLIS DAMA PERFUME 100|Perfumeria|571|NW63423|Pellentesque A Ltd|T41|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|17|856.5|787.98|01/06/2009
AB000027|Pelota de baseball|Deporte|140|LC61454|Id Magna Et LLC|T24|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|4|210|134.4|01/08/2005
AB000094|ALLURE CHANEL DAMA TOILETTE 100|Perfumeria|1081|WQ97984|Egestas Urna Justo Corp.|T32|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|13|1621.5|1199.91|01/05/2009
AB000009|Camisa polo|Ropa de caballero|120|XA93251|Sed Dolor Fusce Associates|T35|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|2|180|95.4|01/07/2009
AB000006|Vestidos|Ropa de Dama|90|SN68257|Eu Foundation|T43|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P9|Planta 9|Norte|Izabal|11|135|94.5|01/06/2005
AB000025|Pelota de futbol|Deporte|150|LE99274|Curabitur Corporation|T39|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|12|225|186.75|01/01/2009
AB000025|Pelota de futbol|Deporte|150|KL32736|Cum Sociis Natoque Consulting|T22|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P3|Planta 3|Norte|El Progreso|11|225|114.75|01/12/2013
AB000041|Laptop HP|Electronicos|5625|JT56112|Sodales Incorporated|T14|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P10|Planta 1|Norte|Guatemala|24|8437.5|7171.875|01/11/2016
AB000092|AIRE LOEWE LOEWE DAMA TOILETTE 100|Perfumeria|626|XD49865|Suspendisse Aliquet Limited|T31|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|12|939|798.15|01/10/2009
AB000061|5TH AVENUE AFTER FIVE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|375|YW27614|Blandit At LLC|T2|Tienda 22|Av. Petapa 46 Calle 45-70 Local 5|Occidente|Quetzaltenango|P5|Planta 5|Norte|Pet‚n|3|562.5|489.375|01/08/2008
AB000038|Closet|Muebles|3599|RL84637|Vulputate Eu Corp.|T11|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|13|5398.5|4534.74|01/10/2012
AB000075|"90210 SPORT TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|226|RE72959|Adipiscing Ligula Foundation|T15|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|16|339|176.28|01/01/2007
AB000074|"90210 RED JEANS TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|100|LQ88229|Augue Ut Lacus Associates|T4|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P8|Planta 8|Sur|San Marcos|23|150|102|01/08/2017
AB000048|24K BRILLIANT GOLD MICHAEL KORS DAMA PERFUME 100|Perfumeria|1250|TN43869|Lobortis PC|T36|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|5|1875|937.5|01/08/2006
AB000093|ALIEN THIERRY MUGLER DAMA PERFUME 50|Perfumeria|986|GB87774|Risus In Mi Industries|T27|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|6|1479|1197.99|01/03/2007
AB000062|5TH AVENUE NYC ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|365|GK73188|Pede Company|T10|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P4|Planta 4|Sur|Zacapa|14|547.5|432.525|01/05/2009
AB000028|Bate de baseball|Deporte|180|LB17499|Sed Dictum Ltd|T11|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P5|Planta 5|Norte|Pet‚n|11|270|253.8|01/05/2015
AB000013|Chumpa de lona|Ropa de caballero|250|XC43143|Sem Eget LLP|T1|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|19|375|288.75|01/01/2012
AB000045|212 VIP ROSE CAROLINA HERRERA DAMA PERFUME 80|Perfumeria|990|KS15919|Feugiat Corp.|T5|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P2|Planta 2|Norte|Escuintla|6|1485|1202.85|01/02/2009
AB000042|Laptop DELL|Electronicos|5400|MZ65188|Elementum At Egestas Company|T31|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|21|8100|5184|01/11/2012
AB000073|"90210 PURE SEXY TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|291|SV76623|Sem LLC|T8|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P9|Planta 9|Norte|Izabal|23|436.5|384.12|01/12/2009
AB000015|Pantalon de lona|Ropa de ni¤os|110|WX14184|Gravida Praesent Corp.|T25|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P10|Planta 1|Norte|Guatemala|9|165|89.1|01/06/2013
AB000071|"90210 METAL JEANS TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|266|NE19416|Ac Ipsum Institute|T41|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|7|399|207.48|01/07/2007
AB000089|ADIDAS TROPICAL PASSION ADIDAS DAMA TOILETTE 50|Perfumeria|191|VU61112|Convallis Convallis Corporation|T27|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P7|Planta 7|Sur|Retalhuleu|5|286.5|160.44|01/12/2011
AB000034|Minicomponente|Electrodomesticos|1263|MX75714|Duis Company|T22|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P3|Planta 3|Norte|El Progreso|23|1894.5|1761.885|01/09/2009
AB000030|Refrigeradora|Electrodomesticos|5999|QD37241|Integer Tincidunt Aliquam Inc.|T35|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|6|8998.5|6118.98|01/02/2007
AB000056|360 PINK PERRY ELLIS DAMA PERFUME 100|Perfumeria|475|SN44569|Ac Foundation|T1|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P5|Planta 5|Norte|Pet‚n|9|712.5|619.875|01/04/2009
AB000020|Eliptica|Deporte|2500|PC34354|Tincidunt Tempus LLP|T23|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|18|3750|2137.5|01/05/2013
AB000017|Camisa|Ropa de ni¤os|60|CG71283|Nonummy Ut Corp.|T17|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|4|90|63.9|01/11/2008
AB000060|5TH AVENUE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|425|TR14454|A Felis Ullamcorper Foundation|T11|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P10|Planta 1|Norte|Guatemala|1|637.5|376.125|01/02/2016
AB000096|ALLURE SENSUELLE CHANEL DAMA PERFUME 100|Perfumeria|1351|VW35514|Odio Inc.|T19|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P10|Planta 1|Norte|Guatemala|9|2026.5|1823.85|01/12/2009
AB000077|"90210 TOUCH OF GOLD TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|331|ZK33632|Rutrum Urna Nec Corp.|T38|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|4|496.5|441.885|01/03/2007
AB000032|Secadora de ropa|Electrodomesticos|2840|LF82249|Quam A LLP|T13|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|7|4260|3280.2|01/07/2010
AB000067|"90210 TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|221|MP63625|Ultrices Duis Volutpat Associates|T7|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|13|331.5|271.83|01/07/2013
AB000058|360 RED PERRY ELLIS DAMA PERFUME 100|Perfumeria|391|YF75518|Mattis Semper Dui Institute|T16|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|21|586.5|340.17|01/06/2014
AB000092|AIRE LOEWE LOEWE DAMA TOILETTE 100|Perfumeria|626|WL53371|Condimentum Eget Volutpat Corp.|T31|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|20|939|741.81|01/04/2012
AB000075|"90210 SPORT TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|226|KF27823|Eu Eros Nam Incorporated|T12|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P3|Planta 3|Norte|El Progreso|24|339|169.5|01/12/2008
AB000074|"90210 RED JEANS TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|100|WW15854|In Ltd|T43|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P10|Planta 1|Norte|Guatemala|24|150|88.5|01/01/2013
AB000062|5TH AVENUE NYC ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|365|VZ17471|Luctus Industries|T30|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P9|Planta 9|Norte|Izabal|10|547.5|514.65|01/01/2017
AB000019|Caminadora|Deporte|3800|WV21923|Molestie Incorporated|T41|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|14|5700|3762|01/09/2017
AB000045|212 VIP ROSE CAROLINA HERRERA DAMA PERFUME 80|Perfumeria|990|WX37251|Pretium Aliquet Metus Incorporated|T4|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|18|1485|1425.6|01/11/2012
AB000002|Pantalon de vestir|Ropa de Dama|120|BY33729|Lacus Limited|T13|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P5|Planta 5|Norte|Pet‚n|6|180|142.2|01/07/2016
AB000051|360 PERRY ELLIS DAMA TOILETTE 100|Perfumeria|390|NX96558|Penatibus Incorporated|T3|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|4|585|462.15|01/09/2010
AB000074|"90210 RED JEANS TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|100|GY95757|Sagittis Lobortis Mauris PC|T5|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P2|Planta 2|Norte|Escuintla|2|150|141|01/05/2012
AB000026|Pelota de basketball|Deporte|169|MW63791|Proin LLP|T33|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P9|Planta 9|Norte|Izabal|7|253.5|152.1|01/01/2008
AB000070|"90210 MAGIC TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|236|ZQ96116|Velit Corporation|T29|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|6|354|304.44|01/09/2006
AB000040|Computadora|Electronicos|6550|ME95877|Neque Pellentesque Ltd|T5|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|6|9825|9726.75|01/01/2014
AB000016|Pantaloneta|Ropa de ni¤os|50|JM48674|Ante LLC|T26|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|18|75|74.25|01/03/2011
AB000005|Pijama|Ropa de Dama|169|LR83328|Nec Leo Consulting|T20|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P5|Planta 5|Norte|Pet‚n|12|253.5|129.285|01/01/2011
AB000091|AIRE LOCO LOEWE DAMA TOILETTE 100|Perfumeria|831|DZ55645|Semper Et Lacinia Associates|T4|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|22|1246.5|1146.78|01/01/2007
AB000045|212 VIP ROSE CAROLINA HERRERA DAMA PERFUME 80|Perfumeria|990|BU53438|Luctus Company|T11|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|25|1485|1366.2|01/08/2011
AB000042|Laptop DELL|Electronicos|5400|YR18376|Orci LLC|T39|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|19|8100|5265|01/10/2014
AB000087|ADIDAS FLORAL DREAM ADIDAS DAMA TOILETTE 50|Perfumeria|191|FG13627|Nulla Interdum Curabitur Incorporated|T1|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|7|286.5|194.82|01/03/2005
AB000049|273 FRED HAYMAN ?S DAMA PERFUME 75|Perfumeria|431|MA31163|Feugiat Tellus Lorem Incorporated|T31|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P9|Planta 9|Norte|Izabal|24|646.5|478.41|01/04/2009
AB000029|Estufa|Electrodomesticos|2399|FU49931|Nam Tempor Company|T9|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P2|Planta 2|Norte|Escuintla|6|3598.5|3166.68|01/03/2017
AB000012|Pantalon de mezclilla|Ropa de caballero|140|ZJ98595|Ultrices Sit Company|T20|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P8|Planta 8|Sur|San Marcos|24|210|105|01/06/2005
AB000066|"90210 FOR HER TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|351|HW71671|Proin Vel Arcu Ltd|T7|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P4|Planta 4|Sur|Zacapa|25|526.5|442.26|01/09/2017
AB000034|Minicomponente|Electrodomesticos|1263|MQ77396|Auctor Mauris Consulting|T16|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P5|Planta 5|Norte|Pet‚n|25|1894.5|1723.995|01/04/2012
AB000021|Pelota medicinal|Deporte|150|ML34358|Ac Facilisis LLC|T13|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P7|Planta 7|Sur|Retalhuleu|8|225|139.5|01/04/2011
AB000090|AGUA DE LOEWE ELLA LOEWE DAMA TOILETTE 100|Perfumeria|731|JT41914|Morbi Consulting|T29|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P3|Planta 3|Norte|El Progreso|13|1096.5|625.005|01/03/2016
AB000071|"90210 METAL JEANS TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|266|BD98856|Bibendum Fermentum Foundation|T25|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P4|Planta 4|Sur|Zacapa|12|399|239.4|01/03/2010
AB000067|"90210 TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|221|SV81439|Vestibulum PC|T34|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P5|Planta 5|Norte|Pet‚n|1|331.5|198.9|01/06/2015
AB000095|ALLURE CHANEL DAMA PERFUME 100|Perfumeria|1381|PT97679|Pede Praesent Industries|T35|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P10|Planta 1|Norte|Guatemala|24|2071.5|1367.19|01/05/2014
AB000055|360 CORAL PERRY ELLIS DAMA PERFUME 100|Perfumeria|540|PT48994|Lacinia Vitae LLC|T18|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P6|Planta 6|Occidente|Quetzaltenango|7|810|729|01/12/2012
AB000064|5TH AVENUE NIGHTS ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|335|LF88459|Lorem Luctus Ut Institute|T5|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P2|Planta 2|Norte|Escuintla|19|502.5|331.65|01/02/2013
AB000092|AIRE LOEWE LOEWE DAMA TOILETTE 100|Perfumeria|626|SU45845|Nec Ante Maecenas Ltd|T18|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P7|Planta 7|Sur|Retalhuleu|20|939|920.22|01/04/2016
AB000098|AMARIGE GIVENCHY DAMA TOILETTE 100|Perfumeria|656|ZX55584|Vulputate Risus Limited|T40|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|4|984|787.2|01/12/2013
AB000031|Lavadora|Electrodomesticos|3599|FS69939|Ipsum Corporation|T27|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P1|Planta 1|Norte|Guatemala|25|5398.5|4048.875|01/05/2011
AB000072|"90210 MOMMENT TORAND, A SPELLING ENTERTEIMEN DAMA PERFUME 100"|Perfumeria|251|GG16557|Ut Aliquam Iaculis Associates|T33|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|13|376.5|252.255|01/06/2012
AB000031|Lavadora|Electrodomesticos|3599|FX58525|Nunc Consulting|T40|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P7|Planta 7|Sur|Retalhuleu|15|5398.5|3670.98|01/07/2013
AB000032|Secadora de ropa|Electrodomesticos|2840|VV53934|Iaculis Lacus Pede Corp.|T31|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|23|4260|4132.2|01/09/2010
AB000047|24 FAUBOURY HERMES DAMA TOILETTE 100|Perfumeria|1250|MU68338|Rhoncus Nullam PC|T37|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|17|1875|1031.25|01/12/2011
AB000031|Lavadora|Electrodomesticos|3599|FF93811|Elit Fermentum Risus Foundation|T41|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P10|Planta 1|Norte|Guatemala|3|5398.5|4264.815|01/05/2005
AB000001|Blusa para dama|Ropa de Dama|50|GR71829|Eget Ltd|T3|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P3|Planta 3|Norte|El Progreso|4|75|51|01/11/2006
AB000061|5TH AVENUE AFTER FIVE ELIZABETH ARDEN DAMA PERFUME 125|Perfumeria|375|KL25699|Ornare Egestas Ligula Limited|T35|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P1|Planta 1|Norte|Guatemala|7|562.5|309.375|01/05/2015
AB000011|Pantalon de vestir|Ropa de caballero|140|WR15121|Sapien Cras Dolor PC|T34|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P8|Planta 8|Sur|San Marcos|25|210|132.3|01/03/2010
AB000069|"90210 GOLD JEANS TORAND, A SPELLING ENTERTEIMEN DAMA TOILETTE 100"|Perfumeria|236|YS38377|Sit LLP|T21|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P4|Planta 4|Sur|Zacapa|20|354|272.58|01/11/2006
AB000006|Vestidos|Ropa de Dama|90|MH98481|Luctus Et Ultrices Industries|T3|Tienda 43|5 Calle 19-01 Calz. Jose Milla y Vidaurre|Norte|Huehuetenango|P6|Planta 6|Occidente|Quetzaltenango|9|135|67.5|01/09/2010
AB000006|Vestidos|Ropa de Dama|90|GB95125|Dolor Sit Amet Institute|T27|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|10|135|70.2|01/06/2010
AB000050|273 RED FRED HAYMAN ?S DAMA PERFUME 75|Perfumeria|355|LZ68724|Sed Auctor Odio Foundation|T12|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P3|Planta 3|Norte|El Progreso|3|532.5|282.225|01/01/2010
AB000033|"Televisor 40"""|Electrodomesticos|4500|BH46389|Augue Consulting|T22|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P4|Planta 4|Sur|Zacapa|10|6750|6277.5|01/03/2015
AB000036|Amueblado de comedor|Muebles|3600|HE39815|Nunc Sit Amet Inc.|T21|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P9|Planta 9|Norte|Izabal|13|5400|3402|01/10/2007
AB000018|Playera|Ropa de ni¤os|60|PP58745|Nostra Per Inceptos Foundation|T16|Tienda 5|6a Av. 20-09 Col. Sn. Francisco|Sur|Sacatep‚quez|P4|Planta 4|Sur|Zacapa|24|90|71.1|01/12/2010
AB000053|360 BLUE PERRY ELLIS DAMA PERFUME 100|Perfumeria|455|CL79515|Amet Nulla Donec LLP|T26|Tienda 42|Av. Petapa 51-57 Local 157 C.C. Plaza Atanasio Tzul|Sur|Sacatep‚quez|P2|Planta 2|Norte|Escuintla|17|682.5|361.725|01/08/2005
